dataset,replicate,mode,runtime_algorithm_ms
FA,1,off,291.090845
FA,1,summary,291.989435
FA,1,rounds,234.888322
FA,2,off,233.094890
FA,2,summary,232.516338
FA,2,rounds,231.596448
FA,3,off,231.087666
FA,3,summary,282.012502
FA,3,rounds,270.680466
EM,1,off,2031.203909
EM,1,summary,1948.514992
EM,1,rounds,1769.959421
EM,2,off,1815.521104
EM,2,summary,1711.519203
EM,2,rounds,1712.856528
EM,3,off,1711.355566
EM,3,summary,1738.021592
EM,3,rounds,1715.381802
AM,1,off,9091.586765
AM,1,summary,9600.434122
AM,1,rounds,9088.666780
AM,2,off,10559.250066
AM,2,summary,10663.336759
AM,2,rounds,9616.303172
AM,3,off,9085.625798
AM,3,summary,9338.502268
AM,3,rounds,9220.036520
DB,1,off,8592.475127
DB,1,summary,8649.274499
DB,1,rounds,8716.315803
DB,2,off,8560.858161
DB,2,summary,12674.622918
DB,2,rounds,8858.704694
DB,3,off,8587.373784
DB,3,summary,8670.746283
DB,3,rounds,8784.307519
